codigo,nombre,precio,cantidad_bulto,vendor,proveedor,category,tags,imagen
DCH-LT25D04,DEPILADORA FACIAL 2EN1,2.9,200,LAMB,DCH,Belleza,"depiladora, facial, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-LT25D04.jpg
DCH-LT25D05,DEPILADORA FACIAL,2.0,200,LAMB,DCH,Belleza,"depiladora, facial, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-LT25D05.jpg
DCH-LT25D06,DEPILADORA FACIAL 2EN1,2.7,200,LAMB,DCH,Belleza,"depiladora, facial, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-LT25D06.jpg
DCH-LT25D07,RECARGABLE CON FUNCION DE,3.0,200,LAMB,DCH,Tecno,"recargable, funcion",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-LT25D07.jpg
DCH-C43205CYS25233,DEPILADORA FACIAL CEJAS,3.0,120,LAMB,DCH,Belleza,"depiladora, facial, cejas, flawlbss, recargable, desarmado, blanco",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-C43205CYS25233.jpg
DCH-C5000,LAMBO TECH RECARGABLE,3.5,200,LAMB,DCH,Tecno,"lambo, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-C5000.jpg
DCH-CYS25261,AFEITADORA ULTRASONICA,8.5,100,LAMB,DCH,General,"afeitadora, ultrasonica, lambotech",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CYS25261.jpg
DCH-AYS255,LIMA DE UÑA ELECTRICA PARA,2.75,100,LAMB,DCH,General,"electrica, lambo",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS255.jpg
DCH-CK1049C38210,FETAL DETECCION CARDIACA,6.7,60,LAMB,DCH,General,"fetal, deteccion, cardiaca",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1049C38210.jpg
DCH-CK1049C38210,FETAL DETECCION CARDIACA,6.7,60,LAMB,DCH,General,"fetal, deteccion, cardiaca",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1049C38210.jpg
DCH-CK1082,SET ESTUCHE MANICURA,2.15,120,LAMB,DCH,General,"estuche, manicura, pedicura, alicate, corta, tijera, pinza",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1082.jpg
DCH-CK1080,PORTATIL SECADO UÑAS,1.85,300,LAMB,DCH,Tecno,"portatil, secado, manicura, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-CK1080.jpg
DCH-C43206,SACALECHE ELECTRICO,9.5,48,LAMB,DCH,Tecno,"sacaleche, electrico",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-C43206.jpg
DCH-AYS25202,MATERNAXL-2401 ELECTRICO,8.9,48,LAMB,DCH,Tecno,"maternaxl, electrico, sacaleche, recargable",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS25202.jpg
DCH-AYS25203,MATERNA JSL-X901,10.5,40,LAMB,DCH,Tecno,"materna, electrico, sacaleche",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS25203.jpg
DCH-AYS25204,MATERNA MY-376 ELECTRICO,14.5,30,LAMB,DCH,Tecno,"materna, electrico",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS25204.jpg
DCH-AYS2577,EXTRACTOR DE LECHE,11.0,30,LAMB,DCH,Maternal,"extractor, leche, materna, automatico",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AYS2577.jpg
DCH-A35701AMT4013,MASCARA DE PESTAÑA TANGO,0.59,720,LAMB,DCH,General,"mascara, pesta, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A35701AMT4013.jpg
DCH-AMT384I71,RUBOR CON ESPONJA M1120,0.6,1440,LAMB,DCH,Cosmetico,"rubor, esponja, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMT384I71.jpg
DCH-AMT387,ACEITE LABIAL MT1124 MINI,0.24,2880,LAMB,DCH,Cosmetico,"aceite, labial, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMT387.jpg
DCH-AMT373,POLVO ILUMINADOR MT-H186,0.24,2880,LAMB,DCH,Cosmetico,"polvo, iluminador, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMT373.jpg
DCH-A33410,LABIAL GLOSS R1801,0.49,720,LAMB,DCH,Cosmetico,"labial, gloss, romantic",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A33410.jpg
DCH-A33411,ACEITE LABIAL R1779,0.49,720,LAMB,DCH,Cosmetico,"aceite, labial, romantic",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-A33411.jpg
DCH-AMOC786,POLVO ILUMINADOR MOC786,0.63,960,LAMB,DCH,Cosmetico,"polvo, iluminador",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMOC786.jpg
DCH-AMT372,RUBOR EN BARRA SH0411 MINI,0.9,576,LAMB,DCH,Cosmetico,"rubor, barra, tango",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AMT372.jpg
